a,b,c,f
0.925299387,1.100015626,-1.113457438,1.099988305
1.093690871,1.099988305,-0.606766685,1.100015626
1.107583476,1.100015626,-0.21049277,1.099974645
1.102638419,1.100001966,-0.073315251,1.099988305
1.101163098,1.075440606,-0.024656983,1.100029287
1.070837058,0.54265853,-0.003688302,1.099933664
1.501152636,0.290474285,-0.009603246,1.298965376
0.205260845,-1.099974645,-1.094237286,0.258194811
0.150469067,-1.099974645,-1.115520156,0.089967252
0.041445588,-1.099988305,-1.115738722,0.03141887
0.001516302,-1.100001966,-1.113293514,0.010955623
8.20E-05,-1.100001966,-1.113648684,0.003811246
-0.002745736,-1.100001966,-0.950434483,0.001352377
0.001502642,-1.690417178,-0.570293475,0.000751321
-0.02095502,-1.100015626,-1.097952909,-5.46E-05
0.020627171,-1.663451591,-1.422619121,-4.10E-05
-0.216954129,1.100001966,1.025470942,-0.258181151
-0.139813972,1.100001966,1.086642116,-0.090090195
-0.034437814,1.100015626,1.086655776,-0.031364229
-0.001652906,1.100001966,1.085112153,-0.010941963
0,1.100001966,1.085330719,-0.003838566
-0.000642038,1.100015626,1.085590267,-0.001338717
-0.00036883,1.100015626,1.085603927,-0.000464453
-0.000218566,1.100015626,1.085658569,-0.000163925
-0.000232226,1.100001966,1.085822493,-4.10E-05
-0.000136604,1.099974645,1.086013738,-2.73E-05
-0.004794793,1.026044677,1.087639323,2.73E-05
-0.02238936,0.454876938,1.094701739,1.37E-05
0.006475019,0.158624313,1.089469814,-4.10E-05
0.017471624,0.084830949,4.008255533,-0.000136604
-0.956021578,-1.099947324,1.095917513,-1.1005074
-1.088759474,-1.099960985,1.085112153,-1.10015223
-1.103212155,-1.100001966,1.083623172,-1.100124909
-1.097529437,-1.100001966,1.085480984,-1.100179551
-1.096026796,-1.100029287,1.085289738,-1.100097588
-1.096081437,-1.099974645,1.084593059,-1.100124909
-1.095972154,-1.100015626,1.084224229,-1.10015223
-1.095944833,-1.100015626,1.083882719,-1.10013857
-1.095862871,-1.100029287,1.083595851,-1.100206872
-1.095698947,-1.099988305,1.0831997,-1.10016589
-1.095657966,-1.100015626,1.082844531,-1.100111249
-1.095548682,-1.100001966,1.0824757,-1.100179551
-1.07341887,-0.714096278,1.074115549,-1.100275173
-1.072080153,-0.248987716,1.072899775,-1.100247853
-1.094209965,-0.086825365,0.884618781,-1.100275173
-1.106408683,-0.030285059,0.336318515,-1.100193211
-1.105548079,-0.010559472,0.114392008,-1.100179551
-3.787312574,-0.005614415,0.060638419,-3.546575727
-0.857434628,-1.100029287,1.091587173,-1.100343475
-1.062094416,-1.100029287,1.081860983,-1.100261513
-1.107105363,-1.099988305,1.079019625,-1.10015223
-1.099332607,-1.100070268,0.899221725,-1.100179551
-0.909589952,-1.100042947,0.346058364,-0.650876047
-0.365196555,-1.785124581,0.179114881,-0.348763119
-0.03755238,-1.100001966,-1.090685588,8.20E-05
0.021446794,-1.089087324,-1.11965925,-5.46E-05
0.040544003,-0.580566079,-1.138619855,-0.000136604
0.004248378,-0.202419486,-1.129522043,1.37E-05
-0.016884228,-0.070569515,-1.11964559,5.46E-05
-0.010709737,-0.037825588,-5.406736766,0.000191245
0,0,0,0
0.92539501,1.100015626,-1.113430118,1.099947324
1.093745513,1.099974645,-0.606725704,1.099988305
1.107610797,1.100001966,-0.210465449,1.100015626
1.102652079,1.100029287,-0.073342571,1.099988305
1.10121774,1.075454266,-0.024656983,1.099974645
1.070809737,0.54267219,-0.003688302,1.100029287
1.500893089,0.290474285,-0.009575925,1.298992697
0.205260845,-1.099974645,-1.094209965,0.258194811
0.150496388,-1.099988305,-1.115492835,0.090021893
0.041472909,-1.099974645,-1.115738722,0.031391549
0.001475321,-1.100001966,-1.113293514,0.010914642
5.46E-05,-1.099960985,-1.113621363,0.003824906
-0.002663774,-1.100015626,-0.950489125,0.001325057
0.001502642,-1.690403518,-0.570375437,0.00073766
-0.020996002,-1.099988305,-1.097966569,-2.73E-05
0.020476907,-1.663478912,-1.423206517,-1.37E-05
-0.216557978,1.099988305,1.024965508,-0.258208471
-0.139704689,1.100015626,1.086669437,-0.089994573
-0.03467004,1.100015626,1.086669437,-0.03141887
-0.001721208,1.100029287,1.085084833,-0.010941963
-2.73E-05,1.100042947,1.085303399,-0.003852227
-0.000655698,1.099974645,1.085562946,-0.001325057
-0.000327849,1.099988305,1.085590267,-0.000437132
-0.000109283,1.100015626,1.085631248,-0.000136604
