a,b,c,d,e,f
-0.6466676,-0.607651651,0.55212599,-0.662577212,-0.603625357,0.539056957
-0.662577212,-0.603625357,0.539056957,-0.674972892,-0.61078769,0.511880457
-0.674972892,-0.61078769,0.511880457,-0.676606655,-0.612653196,0.489838541
-0.676606655,-0.612653196,0.489838541,-0.681915879,-0.619621634,0.455139577
-0.681915879,-0.619621634,0.455139577,-0.683743834,-0.622915387,0.429394662
-0.683743834,-0.622915387,0.429394662,-0.682011247,-0.62104553,0.416939557
-0.682011247,-0.62104553,0.416939557,-0.679933548,-0.618054211,0.407048106
-0.679933548,-0.618054211,0.407048106,-0.674310088,-0.610181212,0.361920476
-0.674310088,-0.610181212,0.361920476,-0.674310088,-0.610181212,0.361920476
-0.378673881,-0.649054706,0.413987517,-0.364888936,-0.642178416,0.411923051
-0.364888936,-0.642178416,0.411923051,-0.348723054,-0.63796562,0.417610288
-0.348723054,-0.63796562,0.417610288,-0.333749354,-0.635468483,0.427062571
-0.333749354,-0.635468483,0.427062571,-0.319553763,-0.634193718,0.438574195
-0.319553763,-0.634193718,0.438574195,-0.305661738,-0.633332431,0.451267302
-0.305661738,-0.633332431,0.451267302,-0.292662561,-0.634629548,0.459110379
-0.292662561,-0.634629548,0.459110379,-0.275703222,-0.641096115,0.460979164
-0.275703222,-0.641096115,0.460979164,-0.273438692,-0.643851936,0.440053761
-0.273438692,-0.643851936,0.440053761,-0.272519201,-0.648989201,0.412953019
-0.272519201,-0.648989201,0.412953019,-0.272301912,-0.650736809,0.38919729
-0.272301912,-0.650736809,0.38919729,-0.272347271,-0.651290417,0.365966737
-0.272347271,-0.651290417,0.365966737,-0.272319674,-0.651242614,0.342458069
-0.272319674,-0.651242614,0.342458069,-0.27241829,-0.651555061,0.320586503
-0.27241829,-0.651555061,0.320586503,-0.27543959,-0.670905709,0.310750246
-0.27543959,-0.670905709,0.310750246,-0.275000721,-0.667870104,0.290056467
-0.275000721,-0.667870104,0.290056467,-0.275471598,-0.670406818,0.261206031
-0.275471598,-0.670406818,0.261206031,-0.278681964,-0.673504293,0.280394018
-0.278681964,-0.673504293,0.280394018,-0.280570358,-0.673863351,0.305776775
-0.280570358,-0.673863351,0.305776775,-0.281201273,-0.675174594,0.328857124
-0.281201273,-0.675174594,0.328857124,-0.281340659,-0.675972521,0.351931036
-0.281340659,-0.675972521,0.351931036,-0.281321347,-0.675785184,0.375504792
-0.281321347,-0.675785184,0.375504792,-0.281210154,-0.674773276,0.39924258
-0.281210154,-0.674773276,0.39924258,-0.280930787,-0.672962487,0.423087537
-0.280930787,-0.672962487,0.423087537,-0.280520648,-0.670306146,0.447034717
-0.280520648,-0.670306146,0.447034717,-0.279987305,-0.666810095,0.47106427
-0.279987305,-0.666810095,0.47106427,-0.279297948,-0.662474215,0.495141566
-0.279297948,-0.662474215,0.495141566,-0.278502017,-0.657367289,0.518885314
-0.278502017,-0.657367289,0.518885314,-0.278345585,-0.655034125,0.53631717
