a,b,c
-0.836958290731964,-0.463410374803939,0.2
-0.836958290731964,-0.463410374803939,0.2
-0.536958290731964,-0.463410374803939,0.2
-0.536958290731964,-0.463410374803939,0.2
-0.66331719784937,-0.698304214527055,0.2
-0.66331719784937,-0.698304214527055,0.2
-0.81331719784937,-0.498304214527055,0.2
-0.81331719784937,-0.498304214527055,0.2
-0.66331719784937,-0.498304214527055,0.2
-0.66331719784937,-0.498304214527055,0.2
-0.679709459068192,-0.68620258367697,0.2
-0.679709459068192,-0.68620258367697,0.2
-0.529709459068192,-0.48620258367697,0.2
-0.529709459068192,-0.48620258367697,0.2
-0.829709459068192,-0.48620258367697,0.2
-0.829709459068192,-0.48620258367697,0.2
-0.677269528222418,-0.692458013937906,0.2
-0.677269528222418,-0.692458013937906,0.2
-0.527269528222418,-0.492458013937906,0.2
-0.527269528222418,-0.492458013937906,0.2
-0.677269528222418,-0.492458013937906,0.2
-0.677269528222418,-0.492458013937906,0.2
-0.690496037318101,-0.693136254268117,0.2
-0.690496037318101,-0.693136254268117,0.2
-0.690496037318101,-0.493136254268117,0.2
-0.690496037318101,-0.493136254268117,0.2
-0.840496037318101,-0.493136254268117,0.2
-0.840496037318101,-0.493136254268117,0.2
-0.673390061418667,-0.691018402065008,0.2
-0.673390061418667,-0.691018402065008,0.2
-0.673390061418667,-0.491018402065008,0.2
-0.673390061418667,-0.491018402065008,0.2
-0.523390061418667,-0.491018402065008,0.2
-0.523390061418667,-0.491018402065008,0.2
-0.817338855311072,-0.478006857228075,0.2
-0.817338855311072,-0.478006857228075,0.2
-0.667338855311072,-0.678006857228075,0.2
-0.667338855311072,-0.678006857228075,0.2
-0.517338855311072,-0.478006857228075,0.2
-0.517338855311072,-0.478006857228075,0.2
-0.81370461055332,-0.496129275646299,0.2
-0.81370461055332,-0.496129275646299,0.2
-0.66370461055332,-0.696129275646299,0.2
-0.66370461055332,-0.696129275646299,0.2
-0.66370461055332,-0.496129275646299,0.2
-0.66370461055332,-0.496129275646299,0.2
-0.82886737895301,-0.465073017964937,0.2
-0.82886737895301,-0.465073017964937,0.2
-0.52886737895301,-0.465073017964937,0.2
-0.52886737895301,-0.465073017964937,0.2
-0.67886737895301,-0.665073017964937,0.2
-0.67886737895301,-0.665073017964937,0.2
-0.808335461826398,-0.470667902648685,0.2
-0.808335461826398,-0.470667902648685,0.2
-0.508335461826398,-0.470667902648685,0.2
-0.508335461826398,-0.470667902648685,0.2
-0.658335461826398,-0.470667902648685,0.2
-0.658335461826398,-0.470667902648685,0.2
-0.827459004053868,-0.475562673988114,0.2
-0.827459004053868,-0.475562673988114,0.2
-0.677459004053868,-0.475562673988114,0.2
-0.677459004053868,-0.475562673988114,0.2
-0.677459004053868,-0.675562673988114,0.2
-0.677459004053868,-0.675562673988114,0.2
-0.815184383140778,-0.470354162486317,0.2
-0.815184383140778,-0.470354162486317,0.2
-0.665184383140778,-0.470354162486317,0.2
-0.665184383140778,-0.470354162486317,0.2
-0.515184383140778,-0.470354162486317,0.2
-0.515184383140778,-0.470354162486317,0.2
-0.521402343736492,-0.464132845260355,0.2
-0.521402343736492,-0.464132845260355,0.2
-0.671402343736492,-0.664132845260355,0.2
-0.671402343736492,-0.664132845260355,0.2
-0.821402343736492,-0.464132845260355,0.2
-0.821402343736492,-0.464132845260355,0.2
-0.536989961414734,-0.482967833071857,0.2
-0.536989961414734,-0.482967833071857,0.2
-0.686989961414734,-0.682967833071857,0.2
-0.686989961414734,-0.682967833071857,0.2
-0.686989961414734,-0.482967833071857,0.2
-0.686989961414734,-0.482967833071857,0.2
-0.526876761199357,-0.499221009579124,0.2
-0.526876761199357,-0.499221009579124,0.2
-0.826876761199357,-0.499221009579124,0.2
-0.826876761199357,-0.499221009579124,0.2
-0.676876761199357,-0.699221009579124,0.2
-0.676876761199357,-0.699221009579124,0.2
-0.524075559262745,-0.461409778942796,0.2
-0.524075559262745,-0.461409778942796,0.2
-0.824075559262745,-0.461409778942796,0.2
-0.824075559262745,-0.461409778942796,0.2
-0.674075559262745,-0.461409778942796,0.2
-0.674075559262745,-0.461409778942796,0.2
-0.543225854905923,-0.485710253017716,0.2
-0.543225854905923,-0.485710253017716,0.2
-0.693225854905923,-0.485710253017716,0.2
-0.693225854905923,-0.485710253017716,0.2
-0.693225854905923,-0.685710253017716,0.2
-0.693225854905923,-0.685710253017716,0.2
-0.52753561448426,-0.480992634738052,0.2
-0.52753561448426,-0.480992634738052,0.2
-0.67753561448426,-0.480992634738052,0.2
-0.67753561448426,-0.480992634738052,0.2
-0.82753561448426,-0.480992634738052,0.2
-0.82753561448426,-0.480992634738052,0.2
-0.651262475718825,-0.46896302380072,0.2
-0.651262475718825,-0.46896302380072,0.2
-0.651262475718825,-0.66896302380072,0.2
-0.651262475718825,-0.66896302380072,0.2
-0.801262475718825,-0.46896302380072,0.2
-0.801262475718825,-0.46896302380072,0.2
-0.698381658785029,-0.49891980999087,0.2
-0.698381658785029,-0.49891980999087,0.2
-0.698381658785029,-0.69891980999087,0.2
-0.698381658785029,-0.69891980999087,0.2
-0.548381658785029,-0.49891980999087,0.2
-0.548381658785029,-0.49891980999087,0.2
-0.699941565473592,-0.469585933186339,0.2
-0.699941565473592,-0.469585933186339,0.2
-0.849941565473592,-0.469585933186339,0.2
-0.849941565473592,-0.469585933186339,0.2
-0.699941565473592,-0.669585933186339,0.2
-0.699941565473592,-0.669585933186339,0.2
-0.666051504228185,-0.478905798073619,0.2
-0.666051504228185,-0.478905798073619,0.2
-0.816051504228186,-0.478905798073619,0.2
-0.816051504228186,-0.478905798073619,0.2
-0.516051504228185,-0.478905798073619,0.2
-0.516051504228185,-0.478905798073619,0.2
-0.693936516953725,-0.47443484049276,0.2
-0.693936516953725,-0.47443484049276,0.2
-0.543936516953725,-0.47443484049276,0.2
-0.543936516953725,-0.47443484049276,0.2
-0.693936516953725,-0.67443484049276,0.2
-0.693936516953725,-0.67443484049276,0.2
-0.663383708495224,-0.493156853242379,0.2
-0.663383708495224,-0.493156853242379,0.2
-0.513383708495224,-0.493156853242379,0.2
-0.513383708495224,-0.493156853242379,0.2
-0.813383708495224,-0.493156853242379,0.2
-0.813383708495224,-0.493156853242379,0.2
-0.65764235935424,-0.664444413561569,0.2
-0.65764235935424,-0.664444413561569,0.2
-0.80764235935424,-0.464444413561569,0.2
-0.80764235935424,-0.464444413561569,0.2
-0.50764235935424,-0.464444413561569,0.2
-0.50764235935424,-0.464444413561569,0.2
-0.673345494084709,-0.669475899427047,0.2
-0.673345494084709,-0.669475899427047,0.2
-0.823345494084709,-0.469475899427047,0.2
-0.823345494084709,-0.469475899427047,0.2
-0.673345494084709,-0.469475899427047,0.2
-0.673345494084709,-0.469475899427047,0.2
-0.691236501204372,-0.671607098636833,0.2
-0.691236501204372,-0.671607098636833,0.2
-0.541236501204372,-0.471607098636833,0.2
-0.541236501204372,-0.471607098636833,0.2
-0.841236501204372,-0.471607098636833,0.2
-0.841236501204372,-0.471607098636833,0.2
-0.665899895405187,-0.694513074360101,0.2
-0.665899895405187,-0.694513074360101,0.2
-0.515899895405187,-0.494513074360101,0.2
-0.515899895405187,-0.494513074360101,0.2
-0.665899895405187,-0.494513074360101,0.2
-0.665899895405187,-0.494513074360101,0.2
-0.680070821298239,-0.682787632442728,0.2
-0.680070821298239,-0.682787632442728,0.2
-0.680070821298239,-0.482787632442728,0.2
-0.680070821298239,-0.482787632442728,0.2
-0.830070821298239,-0.482787632442728,0.2
-0.830070821298239,-0.482787632442728,0.2
-0.679869588558398,-0.694610700182917,0.2
-0.679869588558398,-0.694610700182917,0.2
-0.679869588558398,-0.494610700182917,0.2
-0.679869588558398,-0.494610700182917,0.2
-0.529869588558398,-0.494610700182917,0.2
-0.529869588558398,-0.494610700182917,0.2
-0.827397406141113,-0.468168734433012,0.2
-0.827397406141113,-0.468168734433012,0.2
-0.677397406141113,-0.668168734433012,0.2
-0.677397406141113,-0.668168734433012,0.2
-0.527397406141113,-0.468168734433012,0.2
-0.527397406141113,-0.468168734433012,0.2
-0.834492828244657,-0.481223496203532,0.2
-0.834492828244657,-0.481223496203532,0.2
-0.684492828244657,-0.681223496203532,0.2
-0.684492828244657,-0.681223496203532,0.2
-0.684492828244657,-0.481223496203532,0.2
-0.684492828244657,-0.481223496203532,0.2
-0.827685861631673,-0.490387308316827,0.2
-0.827685861631673,-0.490387308316827,0.2
-0.527685861631673,-0.490387308316827,0.2
-0.527685861631673,-0.490387308316827,0.2
-0.677685861631673,-0.690387308316827,0.2
-0.677685861631673,-0.690387308316827,0.2
-0.842557558558289,-0.487118092704328,0.2
-0.842557558558289,-0.487118092704328,0.2
-0.542557558558289,-0.487118092704328,0.2
-0.542557558558289,-0.487118092704328,0.2
-0.692557558558289,-0.487118092704328,0.2
-0.692557558558289,-0.487118092704328,0.2
-0.802848533853978,-0.484113485258577,0.2
-0.802848533853978,-0.484113485258577,0.2
-0.652848533853978,-0.484113485258577,0.2
-0.652848533853978,-0.484113485258577,0.2
-0.652848533853978,-0.684113485258577,0.2
-0.652848533853978,-0.684113485258577,0.2
-0.838394895581187,-0.472439979844317,0.2
-0.838394895581187,-0.472439979844317,0.2
-0.688394895581187,-0.472439979844317,0.2
-0.688394895581187,-0.472439979844317,0.2
-0.538394895581187,-0.472439979844317,0.2
-0.538394895581187,-0.472439979844317,0.2
-0.515603015135254,-0.480539254165913,0.2
-0.515603015135254,-0.480539254165913,0.2
-0.665603015135254,-0.680539254165913,0.2
-0.665603015135254,-0.680539254165913,0.2
-0.815603015135254,-0.480539254165913,0.2
-0.815603015135254,-0.480539254165913,0.2
-0.548716692142764,-0.489281060800993,0.2
-0.548716692142764,-0.489281060800993,0.2
-0.698716692142764,-0.689281060800993,0.2
-0.698716692142764,-0.689281060800993,0.2
-0.698716692142764,-0.489281060800993,0.2
-0.698716692142764,-0.489281060800993,0.2
-0.53748715520803,-0.489477446011783,0.2
-0.53748715520803,-0.489477446011783,0.2
-0.83748715520803,-0.489477446011783,0.2
-0.83748715520803,-0.489477446011783,0.2
-0.68748715520803,-0.689477446011783,0.2
-0.68748715520803,-0.689477446011783,0.2
-0.510245646425015,-0.465938763746161,0.2
-0.510245646425015,-0.465938763746161,0.2
-0.810245646425015,-0.465938763746161,0.2
-0.810245646425015,-0.465938763746161,0.2
-0.660245646425015,-0.465938763746161,0.2
-0.660245646425015,-0.465938763746161,0.2
-0.50926272164867,-0.494569325685933,0.2
-0.50926272164867,-0.494569325685933,0.2
-0.65926272164867,-0.494569325685933,0.2
-0.65926272164867,-0.494569325685933,0.2
-0.65926272164867,-0.694569325685933,0.2
-0.65926272164867,-0.694569325685933,0.2
-0.548176666519748,-0.466408398429182,0.2
-0.548176666519748,-0.466408398429182,0.2
-0.698176666519748,-0.466408398429182,0.2
