a,b,c
-0.58836967,-0.48229176,0.56346303
-0.68848133,-0.48243126,0.51266068
-0.68785948,-0.4821195,0.36263353
-0.68785948,-0.4821195,0.36263353
-0.58372611,-0.4599264,0.56391245
-0.68384993,-0.46007976,0.513138
-0.68329799,-0.45977446,0.36317843
-0.68329799,-0.45977446,0.36317843
-0.57080656,-0.47563261,0.56399304
-0.6709258,-0.47577995,0.51324064
-0.67039526,-0.47551742,0.36321133
-0.67039526,-0.47551742,0.36321133
-0.57779169,-0.47405618,0.56399959
-0.6778897,-0.47422901,0.51323384
-0.67737311,-0.47395146,0.36322194
-0.67737311,-0.47395146,0.36322194
-0.47786584,-0.49055395,0.5615955
-0.57800549,-0.4905259,0.5107705
-0.57723039,-0.48999894,0.36031526
-0.57723039,-0.48999894,0.36031526
-0.4779112,-0.48583815,0.56172675
-0.57789606,-0.48582935,0.51087481
-0.57713753,-0.48532808,0.3602832
-0.57713753,-0.48532808,0.3602832
-0.4920412,-0.46244568,0.56169552
-0.59208024,-0.46251887,0.51080936
-0.59124458,-0.46189663,0.36022252
-0.59124458,-0.46189663,0.36022252
-0.48793745,-0.46143994,0.56132871
-0.58802271,-0.46139842,0.51045805
-0.58738458,-0.46082941,0.36018443
-0.58738458,-0.46082941,0.36018443
-0.49711177,-0.46911079,0.56110686
-0.59724468,-0.46908468,0.51019889
-0.59634483,-0.4684366,0.36001581
-0.59634483,-0.4684366,0.36001581
-0.48020956,-0.46636981,0.56120509
-0.58036,-0.46633348,0.51033717
-0.57958215,-0.46569327,0.36009806
-0.57958215,-0.46569327,0.36009806
-0.46970534,-0.45434296,0.56106359
-0.56981361,-0.45429242,0.51020974
-0.56906492,-0.45366293,0.36017305
-0.56906492,-0.45366293,0.36017305
-0.48981312,-0.48764321,0.56092912
-0.5900321,-0.48748845,0.50999171
-0.58918869,-0.48687243,0.35946906
-0.58918869,-0.48687243,0.35946906
-0.47886395,-0.46605521,0.5611009
-0.57897681,-0.46578279,0.51020414
-0.57803327,-0.46527451,0.3602047
-0.57803327,-0.46527451,0.3602047
-0.46867412,-0.47600693,0.56086427
-0.56884986,-0.47571564,0.50991338
-0.56789833,-0.47502929,0.35957623
-0.56789833,-0.47502929,0.35957623
-0.48888788,-0.46793967,0.5606311
-0.58901662,-0.46782318,0.50968736
-0.58821321,-0.46714345,0.35938305
-0.58821321,-0.46714345,0.35938305
-0.45808274,-0.48199454,0.56104475
-0.55846226,-0.48180541,0.51017195
-0.55750293,-0.48111904,0.35945964
-0.55750293,-0.48111904,0.35945964
-0.45462301,-0.46676818,0.56106812
-0.55508131,-0.46667808,0.51015395
-0.55402511,-0.46589154,0.35957646
-0.55402511,-0.46589154,0.35957646
-0.47463754,-0.46689099,0.56051058
-0.57470703,-0.46677142,0.50954014
-0.57387638,-0.46590972,0.35903198
