a,b,c,d,e,f
-0.6802702,-0.47470209,0.20145696,-0.58036,-0.46633348,0.51033717
-0.6802702,-0.47470209,0.20145696,-0.57958215,-0.46569327,0.36009806
-0.66821373,-0.46222112,0.20000166,-0.19720089,-0.59372759,0.56135315
-0.66821373,-0.46222112,0.20000166,-0.46970534,-0.45434296,0.56106359
-0.66821373,-0.46222112,0.20000166,-0.56981361,-0.45429242,0.51020974
-0.66821373,-0.46222112,0.20000166,-0.56906492,-0.45366293,0.36017305
-0.68833089,-0.49522567,0.20341378,-0.19719386,-0.59389859,0.56164187
-0.68833089,-0.49522567,0.20341378,-0.48981312,-0.48764321,0.56092912
-0.68833089,-0.49522567,0.20341378,-0.5900321,-0.48748845,0.50999171
-0.68833089,-0.49522567,0.20341378,-0.58918869,-0.48687243,0.35946906
-0.67705828,-0.4735285,0.19966882,-0.19726571,-0.5940119,0.56158537
-0.67705828,-0.4735285,0.19966882,-0.47886395,-0.46605521,0.5611009
-0.67705828,-0.4735285,0.19966882,-0.57897681,-0.46578279,0.51020414
-0.67705828,-0.4735285,0.19966882,-0.57803327,-0.46527451,0.3602047
-0.66689891,-0.4833557,0.19943106,-0.19049916,-0.5845319,0.56140536
-0.66689891,-0.4833557,0.19943106,-0.46867412,-0.47600693,0.56086427
-0.66689891,-0.4833557,0.19943106,-0.56884986,-0.47571564,0.50991338
-0.66689891,-0.4833557,0.19943106,-0.56789833,-0.47502929,0.35957623
-0.68717402,-0.4754619,0.20014685,-0.19570781,-0.59813482,0.56116575
-0.68717402,-0.4754619,0.20014685,-0.48888788,-0.46793967,0.5606311
-0.68717402,-0.4754619,0.20014685,-0.58901662,-0.46782318,0.50968736
-0.68717402,-0.4754619,0.20014685,-0.58821321,-0.46714345,0.35938305
-0.65650481,-0.48942441,0.20143878,-0.19710986,-0.59417194,0.56151432
-0.65650481,-0.48942441,0.20143878,-0.45808274,-0.48199454,0.56104475
-0.65650481,-0.48942441,0.20143878,-0.55846226,-0.48180541,0.51017195
-0.65650481,-0.48942441,0.20143878,-0.55750293,-0.48111904,0.35945964
-0.65300804,-0.47417727,0.19980407,-0.19731416,-0.59426272,0.56135803
-0.65300804,-0.47417727,0.19980407,-0.45462301,-0.46676818,0.56106812
-0.65300804,-0.47417727,0.19980407,-0.55508131,-0.46667808,0.51015395
-0.65300804,-0.47417727,0.19980407,-0.55402511,-0.46589154,0.35957646
-0.6727761,-0.47408473,0.2002157,-0.19724761,-0.59450901,0.56099385
-0.6727761,-0.47408473,0.2002157,-0.47463754,-0.46689099,0.56051058
-0.6727761,-0.47408473,0.2002157,-0.57470703,-0.46677142,0.50954014
-0.6727761,-0.47408473,0.2002157,-0.57387638,-0.46590972,0.35903198
-0.6738767,-0.46025476,0.19948995,-0.19711693,-0.57050472,0.56119937
-0.6738767,-0.46025476,0.19948995,-0.47576559,-0.45310003,0.56059593
-0.6738767,-0.46025476,0.19948995,-0.57595694,-0.45288754,0.50963384
-0.6738767,-0.46025476,0.19948995,-0.57500899,-0.45205033,0.35903603
-0.69604975,-0.49884728,0.19668537,-0.19727714,-0.59461862,0.56081134
-0.69604975,-0.49884728,0.19668537,-0.49664691,-0.49041033,0.55988294
-0.69604975,-0.49884728,0.19668537,-0.59684563,-0.49034628,0.50886565
-0.69604975,-0.49884728,0.19668537,-0.59580338,-0.48944253,0.3581838
-0.68164402,-0.46958387,0.204656,-0.19725156,-0.59460169,0.56060451
-0.68164402,-0.46958387,0.204656,-0.48387197,-0.46156958,0.56005961
-0.68164402,-0.46958387,0.204656,-0.58405864,-0.46139041,0.50904018
-0.68164402,-0.46958387,0.204656,-0.58305919,-0.46069059,0.35850489
